,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019,DEC. 2019,JUN. 2020,DEC. 2020,JUN. 2021,DEC. 2021,JUN. 2022,DEC. 2022,JUN. 2023
Kuwait,,,,C ,0,0,0,,0,0,0,0,,,,811,,701,,641,,2593,,3718,,4615,,,,6070,,6824,
Kyrgyz Rep.,,0,0,10.640387,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,
Lao People's Dem. Rep.,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,33,,,,0,,0,
Latvia,13,5.1536862,0,7.98567,13,13,18,4,10,13,148,780,696,786,811,670,665,470,473,495,222,219,242,244,379,342,230,204,107,65,116,182,305
Lebanon,86.76020307,105.1473923,150,223.122895,408,375,432,283,304,463,460,710,849.0608,913.9,1234.8,1487,1150,1260,983,2686,2738,3916,3483,2310,2158,995,443,328,289,246,172,130,138
Liberia,1359.262741,2408.588676,4328,7829.417469,6748,5786,6763,2873,4121,5413,3983,4929,4599.0961,4850.4,6065,10030,10206,12983,9561,11209,14597,16169,13953,13422,17458,19995,10225,14911,21917,21216,11876,16860,27828
"Lesotho, Kingdom of",2,1.5857496,2,25.585725,0,,0,0,0,0,4,1,,1.3,,0,,0,,0,,0,,0,,0,,,,0,,0,
Libya,,,,C ,0,0,0,,0,0,0,0,,,,0,,0,,0,,0,,0,,0,,,,0,,0,
Liechtenstein,59,30.9221172,19,35.432622,66,243,263,192,216,299,104,70,,92.1,,79,,58,,60,,58,,111,,123,,,,82,,67,
Lithuania,50.70019866,35.86829079,28,4.669152,53,41,74,44,792,1517,1982,2645,2083,2082.7,2272,2193,1657,1586,1446,1347,1451,1443,1637,1711,1733,1689,1092,1039,584,572,78,109,181
Luxembourg,13034.91575,14207.17742,23383,38049.73961,46287,60102,95121,60037,94376,100431,93219,104733,116139.88,125013.1,136285.7,133463,143598,127586,127909,131641,138448,145873,145658,138919,151127,156693,160065,191693,204787,222458,189164,200624,225724
"Madagascar, Rep. of",3,1.1893122,0,0,0,,0,0,0,2,0,2,,0.9,,2,,0,,0,,0,,0,,0,,,,0,,0,
Malawi,19,7.5323106,0,0,0,,0,0,0,1,3,0,2,0,3,4,,1,,3,,2,,4,,0,,,,0,,0,
Malaysia,4258.106997,6370,7953,10690.21243,11282,15404,25209,11936,18917,32210,35727,42419,47381.155,42222.5,44164.8,40198,38026,32761,32496,29795,32949,38681,35078,32395,32643,31649,27255,29767,28351,31082,26816,27615,25108
Maldives,,0,,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,16,,32,,34,,,,0,,0,
